"filename", "language", "JavaScript", "CSS", "XML", "JSON", "HTML", "Markdown", "JSON with Comments", "comment", "blank", "total"
"f:\project\ReadIt\back\.prettierrc", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\project\ReadIt\back\crypto.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 4, 15
"f:\project\ReadIt\back\error.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"f:\project\ReadIt\back\index.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 4, 8, 38
"f:\project\ReadIt\back\package-lock.json", "JSON", 0, 0, 0, 4679, 0, 0, 0, 0, 1, 4680
"f:\project\ReadIt\back\package.json", "JSON", 0, 0, 0, 23, 0, 0, 0, 0, 1, 24
"f:\project\ReadIt\back\post.js", "JavaScript", 53, 0, 0, 0, 0, 0, 0, 19, 20, 92
"f:\project\ReadIt\back\schema.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 6, 28
"f:\project\ReadIt\back\user.js", "JavaScript", 95, 0, 0, 0, 0, 0, 0, 12, 27, 134
"f:\project\ReadIt\back\utils.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 3, 9, 33
"f:\project\ReadIt\front\README.md", "Markdown", 0, 0, 0, 0, 0, 38, 0, 0, 33, 71
"f:\project\ReadIt\front\package-lock.json", "JSON", 0, 0, 0, 32216, 0, 0, 0, 0, 1, 32217
"f:\project\ReadIt\front\package.json", "JSON", 0, 0, 0, 47, 0, 0, 0, 0, 1, 48
"f:\project\ReadIt\front\public\index.html", "HTML", 0, 0, 0, 0, 20, 0, 0, 23, 1, 44
"f:\project\ReadIt\front\public\manifest.json", "JSON", 0, 0, 0, 25, 0, 0, 0, 0, 1, 26
"f:\project\ReadIt\front\src\App.css", "CSS", 0, 22, 0, 0, 0, 0, 0, 0, 5, 27
"f:\project\ReadIt\front\src\App.js", "JavaScript", 39, 0, 0, 0, 0, 0, 0, 5, 9, 53
"f:\project\ReadIt\front\src\App.test.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"f:\project\ReadIt\front\src\api\user\createUserRequest.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 4, 19
"f:\project\ReadIt\front\src\api\user\loginRequest.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 6, 23
"f:\project\ReadIt\front\src\components\navbar.js", "JavaScript", 227, 0, 0, 0, 0, 0, 0, 1, 13, 241
"f:\project\ReadIt\front\src\components\postComponents\postPreview.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"f:\project\ReadIt\front\src\components\postComponents\postWriteField.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 3, 27
"f:\project\ReadIt\front\src\components\postComponents\titleField.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 3, 31
"f:\project\ReadIt\front\src\components\postComponents\uploadButton.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 17, 4, 31
"f:\project\ReadIt\front\src\components\userComponents\buttons\loginButton.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"f:\project\ReadIt\front\src\components\userComponents\buttons\signinButton.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"f:\project\ReadIt\front\src\components\userComponents\fields\credsField.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 2, 22
"f:\project\ReadIt\front\src\components\userComponents\fields\nameField.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 2, 22
"f:\project\ReadIt\front\src\components\userComponents\fields\passwordField.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 2, 24
"f:\project\ReadIt\front\src\components\userComponents\loginSuccess.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 5, 33
"f:\project\ReadIt\front\src\index.css", "CSS", 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"f:\project\ReadIt\front\src\index.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 3, 3, 18
"f:\project\ReadIt\front\src\logo.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\project\ReadIt\front\src\pages\main\home.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 1, 4, 20
"f:\project\ReadIt\front\src\pages\main\noMatch.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 3, 20
"f:\project\ReadIt\front\src\pages\main\topic.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 3, 10
"f:\project\ReadIt\front\src\pages\post\postContainer.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 3, 10
