"filename", "language", "Markdown", "JavaScript", "JSON", "comment", "blank", "total"
"f:\project\ReadIt\.VSCodeCounter\2022-10-10_13-19-34\details.md", "Markdown", 59, 0, 0, 0, 6, 65
"f:\project\ReadIt\.VSCodeCounter\2022-10-10_13-19-34\diff-details.md", "Markdown", 9, 0, 0, 0, 6, 15
"f:\project\ReadIt\.VSCodeCounter\2022-10-10_13-19-34\diff.md", "Markdown", 12, 0, 0, 0, 7, 19
"f:\project\ReadIt\.VSCodeCounter\2022-10-10_13-19-34\results.json", "JSON", 0, 0, 1, 0, 0, 1
"f:\project\ReadIt\.VSCodeCounter\2022-10-10_13-19-34\results.md", "Markdown", 35, 0, 0, 0, 7, 42
"f:\project\ReadIt\README.md", "Markdown", 0, 0, 0, 0, 1, 1
"f:\project\ReadIt\back\user.js", "JavaScript", 0, 5, 0, 1, 2, 8
"f:\project\ReadIt\front\src\api\post\newpost.js", "JavaScript", 0, 17, 0, 0, 3, 20
"f:\project\ReadIt\front\src\api\user\loginRequest.js", "JavaScript", 0, 1, 0, 1, 1, 3
"Total", "-", 115, 23, 1, 2, 33, 174
