"filename", "language", "JavaScript", "JSON with Comments", "Markdown", "JSON", "comment", "blank", "total"
"f:\project\ReadIt\.VSCodeCounter\2022-10-11_09-18-11\details.md", "Markdown", 0, 0, 66, 0, 0, 6, 72
"f:\project\ReadIt\.VSCodeCounter\2022-10-11_09-18-11\diff-details.md", "Markdown", 0, 0, 18, 0, 0, 6, 24
"f:\project\ReadIt\.VSCodeCounter\2022-10-11_09-18-11\diff.md", "Markdown", 0, 0, 24, 0, 0, 7, 31
"f:\project\ReadIt\.VSCodeCounter\2022-10-11_09-18-11\results.json", "JSON", 0, 0, 0, 1, 0, 0, 1
"f:\project\ReadIt\.VSCodeCounter\2022-10-11_09-18-11\results.md", "Markdown", 0, 0, 38, 0, 0, 7, 45
"f:\project\ReadIt\README.md", "Markdown", 0, 0, 24, 0, 0, 11, 35
"f:\project\ReadIt\back\user.js", "JavaScript", 1, 0, 0, 0, 0, 1, 2
"f:\project\ReadIt\front\src\api\post\createPost.js", "JavaScript", 26, 0, 0, 0, 0, 6, 32
"f:\project\ReadIt\front\src\api\post\newpost.js", "JavaScript", -17, 0, 0, 0, 0, -3, -20
"f:\project\ReadIt\front\src\components\main-ui\navbar.js", "JavaScript", 227, 0, 0, 0, 1, 13, 241
"f:\project\ReadIt\front\src\components\navbar.js", "JavaScript", -227, 0, 0, 0, -1, -13, -241
"f:\project\ReadIt\front\src\components\postComponents\buttons\uploadButton.js", "JavaScript", 10, 0, 0, 0, 0, 2, 12
"f:\project\ReadIt\front\src\components\postComponents\fields\postWriteField.js", "JavaScript", 24, 0, 0, 0, 0, 3, 27
"f:\project\ReadIt\front\src\components\postComponents\fields\titleField.js", "JavaScript", 28, 0, 0, 0, 0, 3, 31
"f:\project\ReadIt\front\src\components\postComponents\fields\topicField.js", "JavaScript", 28, 0, 0, 0, 0, 3, 31
"f:\project\ReadIt\front\src\components\postComponents\post-ui\postPreview.js", "JavaScript", 13, 0, 0, 0, 0, 2, 15
"f:\project\ReadIt\front\src\components\postComponents\postPreview.js", "JavaScript", -13, 0, 0, 0, 0, -2, -15
"f:\project\ReadIt\front\src\components\postComponents\postWriteField.js", "JavaScript", -24, 0, 0, 0, 0, -3, -27
"f:\project\ReadIt\front\src\components\postComponents\titleField.js", "JavaScript", -28, 0, 0, 0, 0, -3, -31
"f:\project\ReadIt\front\src\components\postComponents\uploadButton.js", "JavaScript", -10, 0, 0, 0, -17, -4, -31
"f:\project\ReadIt\front\src\pages\post\postNew.js", "JavaScript", 17, 0, 0, 0, 3, 5, 25
"f:\project\ReadIt\readit_wkspc.code-workspace", "JSON with Comments", 0, 3, 0, 0, 0, 1, 4
"Total", "-", 55, 3, 170, 1, -14, 48, 263
