"filename", "language", "JSON", "JavaScript", "XML", "CSS", "Markdown", "HTML", "JSON with Comments", "comment", "blank", "total"
"f:\project\ReadIt\.VSCodeCounter\2022-10-10_13-19-34\details.md", "Markdown", 0, 0, 0, 0, 59, 0, 0, 0, 6, 65
"f:\project\ReadIt\.VSCodeCounter\2022-10-10_13-19-34\diff-details.md", "Markdown", 0, 0, 0, 0, 9, 0, 0, 0, 6, 15
"f:\project\ReadIt\.VSCodeCounter\2022-10-10_13-19-34\diff.md", "Markdown", 0, 0, 0, 0, 12, 0, 0, 0, 7, 19
"f:\project\ReadIt\.VSCodeCounter\2022-10-10_13-19-34\results.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"f:\project\ReadIt\.VSCodeCounter\2022-10-10_13-19-34\results.md", "Markdown", 0, 0, 0, 0, 35, 0, 0, 0, 7, 42
"f:\project\ReadIt\.VSCodeCounter\2022-10-11_09-18-11\details.md", "Markdown", 0, 0, 0, 0, 66, 0, 0, 0, 6, 72
"f:\project\ReadIt\.VSCodeCounter\2022-10-11_09-18-11\diff-details.md", "Markdown", 0, 0, 0, 0, 18, 0, 0, 0, 6, 24
"f:\project\ReadIt\.VSCodeCounter\2022-10-11_09-18-11\diff.md", "Markdown", 0, 0, 0, 0, 24, 0, 0, 0, 7, 31
"f:\project\ReadIt\.VSCodeCounter\2022-10-11_09-18-11\results.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"f:\project\ReadIt\.VSCodeCounter\2022-10-11_09-18-11\results.md", "Markdown", 0, 0, 0, 0, 38, 0, 0, 0, 7, 45
"f:\project\ReadIt\README.md", "Markdown", 0, 0, 0, 0, 24, 0, 0, 0, 12, 36
"f:\project\ReadIt\back\.prettierrc", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\project\ReadIt\back\crypto.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 4, 15
